Date,wavelet_cD,target
2017-05-02,3.946495907847236e-16,0.0
2017-05-03,-3.2876550959989696e-05,0.0
2017-05-04,5.0523821237824507e-17,0.0
2017-05-05,2.988903653823441e-05,2.0
2017-05-08,3.3393426912553537e-17,2.0
2017-05-09,4.981954228175465e-06,2.0
2017-05-10,1.896269599677148e-15,1.0
2017-05-11,3.3376225241925914e-05,0.0
2017-05-12,1.0351962342891596e-15,0.0
2017-05-15,8.467574449242798e-06,0.0
2017-05-16,4.679416576447437e-16,0.0
2017-05-17,-4.084938065047417e-05,0.0
2017-05-18,1.0636023312082798e-15,2.0
2017-05-19,4.4833890909805546e-05,0.0
2017-05-22,9.389190813724468e-16,1.0
2017-05-23,2.739839552755004e-05,1.0
2017-05-24,2.6356954813122613e-15,1.0
2017-05-25,-3.337443268621528e-05,1.0
2017-05-26,-1.1535911115245767e-16,1.0
2017-05-29,-1.1535911115245767e-16,1.0
2017-05-30,1.188719261913107e-15,1.0
2017-05-31,-1.8929924800649683e-05,1.0
2017-06-01,1.0904905450859204e-15,1.0
2017-06-02,1.7443113734095074e-05,1.0
2017-06-05,2.1978946440626146e-15,1.0
2017-06-06,2.8406258713664992e-05,1.0
2017-06-07,1.0620844481668e-15,0.0
2017-06-08,-1.8935302462134204e-05,0.0
2017-06-09,-4.145989107584569e-16,0.0
2017-06-12,-4.145989107584569e-16,1.0
2017-06-13,-4.902762223979451e-16,1.0
2017-06-14,1.5947676004073345e-05,0.0
2017-06-15,5.939259500875593e-16,0.0
2017-06-16,-1.2957696816812874e-05,0.0
2017-06-19,6.87817858224804e-16,0.0
2017-06-20,-3.986930204362502e-05,0.0
2017-06-21,2.81155307368941e-15,1.0
2017-06-22,1.4930850063643412e-06,1.0
2017-06-23,-7.41594285980085e-17,2.0
2017-06-26,4.9836011364381375e-05,2.0
2017-06-27,7.435458498905589e-16,0.0
2017-06-28,-4.982178288335647e-07,1.0
2017-06-29,-3.892285799222961e-16,1.0
2017-06-30,1.195924453646917e-05,0.0
2017-07-03,2.0220370516854658e-15,0.0
2017-07-04,-7.478645104696006e-06,0.0
2017-07-05,1.3444106938820257e-17,0.0
2017-07-06,-2.5925028610103863e-05,0.0
2017-07-07,7.240302107858201e-16,0.0
2017-07-10,1.4459744592408869e-05,2.0
2017-07-11,1.4580350815585064e-15,2.0
2017-07-12,1.994316565120339e-05,1.0
2017-07-13,9.280770596475918e-16,0.0
2017-07-14,3.98831943417173e-06,0.0
2017-07-17,2.817624605855329e-15,0.0
2017-07-18,1.9937675973806697e-06,0.0
2017-07-19,2.209604027525458e-16,0.0
2017-07-20,1.992311146242374e-06,1.0
2017-07-21,1.1613973671664723e-15,1.0
2017-07-24,1.146662843696123e-05,1.0
2017-07-25,7.045145716810808e-16,0.0
2017-07-26,-8.475416866852428e-06,2.0
2017-07-27,6.737232299824927e-16,0.0
2017-07-28,6.979194896766751e-06,2.0
2017-07-31,1.0388825216756103e-15,2.0
2017-08-01,5.960240283765599e-05,2.0
2017-08-02,1.605269736582038e-15,2.0
2017-08-03,-4.489898298922325e-06,2.0
2017-08-04,4.5232914636095245e-16,2.0
2017-08-07,3.042433781722106e-05,2.0
2017-08-08,2.3219273725949563e-15,0.0
2017-08-09,-1.2469674134736076e-05,0.0
2017-08-10,1.4005723664167746e-15,0.0
2017-08-11,9.974887847712067e-06,2.0
2017-08-14,7.728193085476678e-16,2.0
2017-08-15,8.514180839695913e-06,0.0
2017-08-16,1.753805434212552e-15,0.0
2017-08-17,-1.6120657411331646e-05,2.0
2017-08-18,1.3062467774105357e-15,2.0
2017-08-21,-1.4609086698692124e-05,2.0
2017-08-22,2.3522850334245504e-15,2.0
2017-08-23,2.216671619600756e-05,1.0
2017-08-24,1.4038249729342313e-15,0.0
2017-08-25,-6.0453865716454495e-06,0.0
2017-08-28,1.4281111015979064e-15,0.0
2017-08-29,1.864031538240845e-05,2.0
