Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,99717.70873954677
2024-01-04,100000.0,100000.0,96824.28097600248
2024-01-05,100000.0,100000.0,98588.57864082555
2024-01-08,100698.06963025877,101492.52987888992,100776.28873616428
2024-01-09,99906.56245623717,99928.9319443895,99223.72524107239
2024-01-10,99283.9030105525,98933.90100040387,98235.7163124136
2024-01-11,99400.60554802568,99147.11890056303,98447.42951628978
2024-01-12,100188.22880556021,100213.21543964693,99506.00252428897
2024-01-15,100396.18238852639,100426.42630151793,99717.70873954677
2024-01-16,99274.0908917188,99289.26895518952,98659.1357315476
2024-01-17,99274.0908917188,99289.26895518952,96894.8520439612
2024-01-18,99274.0908917188,99289.26895518952,97741.71184808422
2024-01-19,99274.0908917188,99289.26895518952,97318.27845171354
2024-01-22,99274.0908917188,99289.26895518952,95130.56136775648
2024-01-23,99274.0908917188,99289.26895518952,96894.8520439612
2024-01-24,99274.0908917188,99289.26895518952,96189.13437575565
2024-01-25,99274.0908917188,99289.26895518952,94777.70602796286
2024-01-26,99274.0908917188,99289.26895518952,93295.69962359303
2024-01-29,99274.0908917188,99289.26895518952,93225.11457839761
2024-01-30,99274.0908917188,99289.26895518952,91743.12215126444
2024-01-31,99274.0908917188,99289.26895518952,92378.26176289296
2024-02-01,99336.95812654885,99513.89693971133,93789.69709930407
2024-02-02,98847.29675264904,98615.35875895561,92942.8442837994
2024-02-05,98341.98282268364,97866.5621113598,92237.1196269755
2024-02-06,99085.88309109052,98914.85665557477,93225.11457839761
2024-02-07,100313.26866324524,100562.20631422571,94777.70602796286
2024-02-08,98506.35822137083,98540.46574692658,92872.25923860402
2024-02-09,99078.72957671391,99139.50603106312,93436.84175951047
2024-02-14,97072.72299669495,97117.77994792927,90755.11322260567
2024-02-15,97072.72299669495,97117.77994792927,89555.39807868905
2024-02-16,97072.72299669495,97117.77994792927,89837.68235052393
2024-02-19,97072.72299669495,97117.77994792927,89555.39807868905
2024-02-20,97072.72299669495,97117.77994792927,91319.68875489378
2024-02-21,97072.72299669495,97117.77994792927,90402.2648714304
2024-02-22,97072.72299669495,97117.77994792927,89273.10681823583
2024-02-23,97072.72299669495,97117.77994792927,87861.68545906138
2024-02-26,97072.72299669495,97117.77994792927,88073.39866293756
2024-02-27,97403.08112441402,97835.93777414605,89978.83147505972
2024-02-28,96980.11884374857,97040.63935887412,89247.40267999537
2024-02-29,98652.33506747111,98969.11263444617,91021.00219582388
2024-03-01,96021.08565017002,95806.42223765414,88112.30430121504
2024-03-04,95190.89671969107,94880.74989814352,87260.97178135689
2024-03-05,94404.96428504415,94032.22135293676,86480.5877148476
2024-03-06,94833.98943462381,94495.05372325382,86906.25048046751
2024-03-07,95354.76177694167,95035.0146901217,87402.84772219963
2024-03-08,96409.87844290344,96114.97461824001,88396.07714875555
2024-03-11,97316.1362036085,97040.63935887412,89247.40267999537
2024-03-12,99152.51436370757,98891.96124126582,90950.04675385667
2024-03-13,98201.98469907501,98043.44580507779,90524.39796547343
2024-03-14,98201.98469907501,98043.44580507779,88750.7984496449
2024-03-15,98201.98469907501,98043.44580507779,87473.7961755485
2024-03-18,98201.98469907501,98043.44580507779,87686.62755835846
2024-03-19,98201.98469907501,98043.44580507779,87331.92023470576
2024-03-20,98201.98469907501,98043.44580507779,90453.44252350622
2024-03-21,98827.7611015573,99325.05475750797,87970.4073945173
2024-03-22,97129.13004359591,96121.02709651066,85132.65795325732
2024-03-25,96605.64988200724,95320.01426326358,84423.21535147858
2024-03-26,96617.24244541294,95320.01426326358,84423.21535147858
2024-03-27,97897.02395295729,96707.50067484559,85652.08701109374
2024-03-28,97659.13786309848,96466.12527274314,85438.30517619006
2024-04-01,95953.32914635188,94696.1152670741,83870.63927687368
2024-04-02,95634.47109671895,94374.27876738294,83585.59450079601
2024-04-03,95367.80313174862,94132.91914660785,83371.82664312901
2024-04-04,97447.4761154054,96224.76565196805,85224.53731852306
2024-04-05,97772.87115882165,96546.58637033186,85509.56811736408
2024-04-08,98831.67286709981,97592.50173234826,86435.91646644275
2024-04-09,100949.6626563511,99684.35612837216,88288.63413045516
2024-04-10,97179.33600224508,96063.84255265835,85224.53731852306
2024-04-11,97179.33600224508,96063.84255265835,85367.04223501605
2024-04-12,97179.33600224508,96063.84255265835,83443.08958430302
2024-04-15,97179.33600224508,96063.84255265835,81804.13977795762
2024-04-16,97179.33600224508,96063.84255265835,80735.2795237676
2024-04-17,97179.33600224508,96063.84255265835,80093.96197352992
2024-04-18,97179.33600224508,96063.84255265835,79381.38148211823
2024-04-19,96923.40912915918,95892.29382337742,79666.41228095925
2024-04-22,97684.1972501495,96664.24714109277,80307.74380843359
2024-04-23,96176.18218432223,95120.3573296817,79025.09473072157
2024-04-24,94896.08633433274,93833.77407482931,77956.21351067652
2024-04-25,93939.86659858837,92890.29146475131,77172.37706670916
2024-04-26,97321.52267979422,96235.37764413214,79951.44307980024
2024-04-29,96627.62505101004,95549.21000262267,79381.38148211823
2024-04-30,95137.72024546313,94176.86457341618,76887.35325648649
2024-05-02,95137.72024546313,94176.86457341618,78811.3198844362
2024-05-03,95137.72024546313,94176.86457341618,81162.82921633827
