Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100000.0,98896.18898640075
2024-01-04,100000.0,100000.0,100000.0,98239.87106372783
2024-01-05,100000.0,100000.0,100000.0,100536.98739127784
2024-01-08,100000.0,100000.0,100000.0,99463.00541233261
2024-01-09,100000.0,100000.0,100000.0,99403.3617358037
2024-01-10,100000.0,100000.0,100000.0,99313.84584628354
2024-01-11,100000.0,100000.0,100000.0,99492.84164337616
2024-01-12,100000.0,100000.0,100000.0,99612.17937116078
2024-01-15,100000.0,100000.0,100000.0,99791.18236464293
2024-01-16,100000.0,100000.0,100000.0,98389.03062977691
2024-01-17,100000.0,100000.0,100000.0,98448.68869908492
2024-01-18,100000.0,100000.0,100000.0,98031.03183920214
2024-01-19,100000.0,100000.0,100000.0,98269.70009838184
2024-01-22,100000.0,100000.0,100000.0,96658.70194260059
2024-01-23,100000.0,100000.0,100000.0,97106.20942630598
2024-01-24,100000.0,100000.0,100000.0,96658.70194260059
2024-01-25,100000.0,100000.0,100000.0,96449.8843072435
2024-01-26,100000.0,100042.0408229211,100000.0,97881.87946954262
2024-01-29,100000.0,99948.74148776033,100000.0,97374.71391652922
2024-01-30,100000.0,99678.24460231827,100000.0,96748.20343934167
2024-01-31,100000.0,100193.66903774784,100000.0,97792.37077641199
2024-02-01,100000.0,100038.11932445344,100000.0,97576.42871540776
2024-02-02,100000.0,100107.34991418521,100000.0,97725.63865618364
2024-02-05,99684.69719063363,101474.5456287558,99404.06428121144,99576.305369291
2024-02-06,101689.87849364034,104988.5963146897,103665.07559915101,103844.69989868204
2024-02-07,101279.42451642887,103974.12119463466,102920.13676851735,103098.4702850641
2024-02-08,99925.0054742711,103974.12119463466,100893.92757459541,101068.75020374775
2024-02-09,100887.00987646167,103974.12119463466,102175.22667365034,102352.26945700434
2024-02-14,100874.16862077822,103974.12119463466,102175.22667365034,102352.26945700434
2024-02-15,101792.69312914397,103974.12119463466,103337.29651413979,103217.8727803546
2024-02-16,101792.69312914397,103974.12119463466,103337.29651413979,103098.4702850641
2024-02-19,101792.69312914397,103969.4015548603,103337.29651413979,104232.73641920753
2024-02-20,101792.69312914397,104443.60185145738,103337.29651413979,106501.2686874944
2024-02-21,101792.69312914397,104081.54985325849,103337.29651413979,105904.27060382099
2024-02-22,101792.69312914397,103765.41678266568,103337.29651413979,105303.54479036448
2024-02-23,101792.69312914397,103929.91319928461,103337.29651413979,105611.80213642093
2024-02-26,101792.69312914397,104077.62626598748,103337.29651413979,105920.0738752565
2024-02-27,101792.69312914397,105028.00905534241,103337.29651413979,107214.81229980994
2024-02-28,101792.69312914397,105087.50043384744,103337.29651413979,107276.44217985263
2024-02-29,101792.69312914397,103317.16880559531,103337.29651413979,104625.39302181939
2024-03-01,101792.69312914397,103317.16880559531,103337.29651413979,105080.73737373664
2024-03-04,101792.69312914397,103317.16880559531,103337.29651413979,104278.86527617548
2024-03-05,101792.69312914397,103317.16880559531,103337.29651413979,104186.30531387884
2024-03-06,101792.69312914397,103317.16880559531,103337.29651413979,105327.49437476219
2024-03-07,101792.69312914397,103317.16880559531,103337.29651413979,104217.17062862693
2024-03-08,101792.69312914397,103317.16880559531,103337.29651413979,105173.27574686469
2024-03-11,101792.69312914397,103317.16880559531,103337.29651413979,105697.59029615806
2024-03-12,101792.69312914397,103317.16880559531,103337.29651413979,106129.4240434397
2024-03-13,101792.69312914397,103317.16880559531,103337.29651413979,107178.05314202643
2024-03-14,101792.69312914397,103317.16880559531,103337.29651413979,107116.35849447788
2024-03-15,101792.69312914397,103317.16880559531,103337.29651413979,106530.34210124642
2024-03-18,101792.69312914397,103317.16880559531,103337.29651413979,106962.14706296992
2024-03-19,101792.69312914397,103317.16880559531,103337.29651413979,107116.35849447788
2024-03-20,101792.69312914397,103317.16880559531,103337.29651413979,107332.2501807553
2024-03-21,101792.69312914397,103317.16880559531,103337.29651413979,106221.93363100958
2024-03-22,101792.69312914397,103317.16880559531,103337.29651413979,104736.60602581043
2024-03-25,101792.69312914397,103317.16880559531,103337.29651413979,104736.60602581043
2024-03-26,101863.96623289381,103352.37390559881,103608.4208227514,106817.65075734444
2024-03-27,102109.54559576785,103465.65934522997,104180.86548180222,107407.82666373148
2024-03-28,102214.38385652416,103535.3457137015,104361.64519433434,107594.2059564948
2024-04-01,99822.03589643635,101745.85730637668,100797.66240338043,103919.83020550657
2024-04-02,99912.33666747496,101819.27498764597,100918.25201354701,104044.15503124421
2024-04-03,99285.08169232545,101270.56658304678,100164.67863290478,103267.2400126167
2024-04-04,98098.82593353814,100221.56989395755,98868.52684435023,101899.87562479953
2024-04-05,98098.82593353814,100221.56989395755,98868.52684435023,101713.40997536172
2024-04-08,98098.82593353814,100221.56989395755,98868.52684435023,103236.16600257184
2024-04-09,98098.82593353814,100221.56989395755,98868.52684435023,104323.8355144271
2024-04-10,98098.82593353814,100221.56989395755,98868.52684435023,102117.42248067175
2024-04-11,98098.82593353814,100221.56989395755,98868.52684435023,101930.95683123395
2024-04-12,98098.82593353814,100221.56989395755,98868.52684435023,100874.35413303404
2024-04-15,98098.82593353814,100221.56989395755,98868.52684435023,99165.13965277566
2024-04-16,98098.82593353814,100221.56989395755,98868.52684435023,98419.31303697212
2024-04-17,98098.82593353814,100221.56989395755,98868.52684435023,98481.46105706182
2024-04-18,98098.82593353814,100221.56989395755,98868.52684435023,98605.76429363083
2024-04-19,98098.82593353814,100221.56989395755,98868.52684435023,98046.38893448602
2024-04-22,98098.82593353814,100221.56989395755,98868.52684435023,97984.2265216172
2024-04-23,98098.82593353814,100221.56989395755,98868.52684435023,99444.84172512713
2024-04-24,98098.82593353814,100221.56989395755,98868.52684435023,99009.76960255131
2024-04-25,98098.82593353814,100221.56989395755,98868.52684435023,98450.38704701696
2024-04-26,98003.62346150163,100172.06105341649,98745.88963466306,100097.431918017
2024-04-29,97692.22488746289,100014.08053070433,97979.47892874246,99320.53129216861
2024-04-30,96500.75845911229,99078.69189286935,96140.06341780073,97455.93956529634
2024-05-02,97284.34569062133,99634.39162673814,97543.84937116483,98878.9392406672
2024-05-03,98171.60751798957,100376.22565890019,98770.82210221211,100122.70563809054
2024-05-06,98668.17631130228,100775.64118913561,99384.31556695772,100744.59603319176
2024-05-07,100492.39157171293,102367.68708312858,101439.49063192873,102827.90043104214
2024-05-08,99880.50298887871,102934.23666516184,100887.35563827217,103480.86483618822
2024-05-09,99880.50298887871,100358.5696150597,100887.35563827217,100371.4704317985
2024-05-10,99880.50298887871,100358.5696150597,100887.35563827217,101521.93563880227
2024-05-13,99880.50298887871,100358.5696150597,100887.35563827217,102765.69483983607
2024-05-14,99880.50298887871,100358.5696150597,100887.35563827217,103885.07884040545
2024-05-15,99880.50298887871,100358.5696150597,100887.35563827217,103605.23284026311
2024-05-16,99880.50298887871,100358.5696150597,100887.35563827217,103294.29843729682
2024-05-17,99880.50298887871,100358.5696150597,100887.35563827217,103325.37964373123
2024-05-20,99880.50298887871,100358.5696150597,100887.35563827217,103014.46682993356
2024-05-21,99880.50298887871,100358.5696150597,100887.35563827217,102485.85603608328
2024-05-22,99880.50298887871,100358.5696150597,100887.35563827217,100900.06683286968
2024-05-23,99880.50298887871,100358.5696150597,100887.35563827217,99998.34483040521
2024-05-24,99880.50298887871,100358.5696150597,100887.35563827217,99034.40284395557
2024-05-27,99880.50298887871,100358.5696150597,100887.35563827217,98692.3728417758
2024-05-28,99880.50298887871,100358.5696150597,100887.35563827217,98163.79083348368
2024-05-29,99880.50298887871,100358.5696150597,100887.35563827217,97479.716436345
2024-05-31,99880.50298887871,100358.5696150597,100887.35563827217,96484.71483262962
2024-06-03,99880.50298887871,100410.42201955001,100887.35563827217,97846.32210881272
2024-06-04,99880.50298887871,100523.43972072867,100887.35563827217,98188.53202073109
2024-06-05,99880.50298887871,100434.9842606471,100887.35563827217,98001.86487238607
2024-06-06,99880.50298887871,101159.4924239762,100887.35563827217,99246.34371237413
2024-06-07,99880.50298887871,100284.53215252302,100887.35563827217,97846.32210881272
2024-06-10,99880.50298887871,99700.78677195028,100887.35563827217,97068.51473788195
2024-06-11,99880.50298887871,100503.01549429119,100887.35563827217,98157.44361790712
2024-06-12,99880.50298887871,100372.04130584322,100887.35563827217,98001.86487238607
2024-06-13,99880.50298887871,99297.53096503305,100887.35563827217,96975.1991546833
2024-06-14,99880.50298887871,99297.53096503305,100887.35563827217,96881.84039314742
2024-06-17,99917.49401709548,99297.53096503305,101077.4590566957,99246.34371237413
2024-06-18,99930.52305031162,99297.53096503305,101014.09843044209,99184.13092477851
2024-06-19,100297.86993522612,99297.53096503305,101806.227189825,99961.90951015112
2024-06-20,99762.40428822563,99297.53096503305,101109.13570524032,99277.44650797716
2024-06-21,100269.62418245112,99297.53096503305,101814.95622462756,99970.48041009634
2024-06-24,101461.28483830801,99297.53096503305,103284.05791231222,101412.96790834851
2024-06-25,101066.81485802417,99297.53096503305,102932.72806711179,101726.55777905602
2024-06-26,101066.81485802417,99297.53096503305,102932.72806711179,101538.37938890707
2024-06-27,101066.81485802417,99297.53096503305,102932.72806711179,101726.55777905602
