Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100000.0,103123.34224912015
2024-01-04,100000.0,100000.0,100000.0,102249.8685554368
2024-01-05,100000.0,100000.0,100000.0,102488.09162216664
2024-01-08,100000.0,100000.0,100000.0,101720.48541394735
2024-01-09,100000.0,100000.0,100000.0,100847.0051896684
2024-01-10,100000.0,100000.0,100000.0,99920.60101855086
2024-01-11,100000.0,100000.0,100000.0,100767.59314702806
2024-01-12,100000.0,100000.0,100000.0,101032.29777896401
2024-01-15,100000.0,100000.0,100000.0,102117.5325659579
2024-01-16,100000.0,100000.0,100000.0,100847.0051896684
2024-01-17,100000.0,100000.0,100000.0,100264.69157074473
2024-01-18,100000.0,100000.0,100000.0,99867.64441873421
2024-01-19,100000.0,99993.40544364705,100000.0,99338.27433843596
2024-01-22,100000.0,99908.22078428083,100000.0,99788.2519678807
2024-01-23,99704.1073396262,100622.7173010015,99686.60690900974,101032.29777896401
2024-01-24,99016.96532267262,99905.91603825026,98929.22476466735,100264.69157074473
2024-01-25,102130.7253362067,103291.35587209313,102585.52991649952,103970.35396938417
2024-01-26,103770.38244820053,104989.47583885277,104361.44090882486,105770.23836478064
2024-01-29,105315.64863490872,106555.7911971131,105954.55307476899,107384.85629326398
2024-01-30,104679.20756466757,105911.78835698684,105301.64765399616,106723.13716229556
2024-01-31,105809.06272945824,107052.5281653322,106450.76274102318,107887.76440014291
2024-02-01,107900.09118626357,109163.55233373644,108566.20053230794,110031.75893952008
2024-02-02,106334.93358599785,107751.2563947471,107103.69434318726,108602.42053914115
2024-02-05,106334.93358599785,108221.8738854462,107103.69434318726,109078.89279498324
2024-02-06,106334.93358599785,109216.85332417209,107103.69434318726,110084.6959475499
2024-02-07,106334.93358599785,110956.5661870632,107103.69434318726,111699.32040662883
2024-02-08,106334.93358599785,110956.5661870632,107103.69434318726,110799.35208654816
2024-02-09,106334.93358599785,110956.5661870632,107103.69434318726,109317.10280052184
2024-02-14,106334.93358599785,110956.5661870632,107103.69434318726,108496.57917605956
2024-02-15,106334.93358599785,110956.5661870632,107103.69434318726,111963.99238558674
2024-02-16,106334.93358599785,110956.5661870632,107103.69434318726,112996.27057276393
2024-02-19,106334.93358599785,110956.5661870632,107103.69434318726,113552.14181005514
2024-02-20,106334.93358599785,110956.5661870632,107103.69434318726,112361.01341521481
2024-02-21,106334.93358599785,110956.5661870632,107103.69434318726,112519.8375004955
2024-02-22,106334.93358599785,110956.5661870632,107103.69434318726,111672.81924963587
2024-02-23,106334.93358599785,110956.5661870632,107103.69434318726,110905.23916379902
2024-02-26,106334.93358599785,110956.5661870632,107103.69434318726,112996.27057276393
2024-02-27,106334.93358599785,110956.5661870632,107103.69434318726,112837.49873224812
2024-02-28,106334.93358599785,110956.5661870632,107103.69434318726,107014.2907064596
2024-02-29,106334.93358599785,110956.5661870632,107103.69434318726,106246.68449824028
2024-03-01,106334.93358599785,110956.5661870632,107103.69434318726,106352.55198370432
2024-03-04,106334.93358599785,110956.5661870632,107103.69434318726,106087.88000474646
2024-03-05,106334.93358599785,110576.61594737404,107103.69434318726,105770.23836478064
2024-03-06,106334.93358599785,111850.88042529098,107103.69434318726,108099.52549345343
2024-03-07,106334.93358599785,112152.18764356285,107103.69434318726,106908.41015980432
2024-03-08,106334.93358599785,104208.97010684316,107103.69434318726,97141.34279102896
2024-03-11,104323.64803764717,101376.63714141327,105041.18150171608,94362.09762469826
2024-03-12,107483.33098796746,104663.63890186415,108488.53256041446,97458.97136980355
2024-03-13,106199.42604197173,103413.25145069225,107192.08837238798,96294.33107076494
2024-03-14,105732.50480784087,102958.57530323131,106720.6646962646,95870.83500652635
2024-03-15,106024.23087853807,103242.7478953944,107015.30449384172,96135.52004667546
2024-03-18,106082.63310021778,103299.60344806775,107074.25426237252,96188.47664649214
2024-03-19,105294.45158166307,102532.29538074596,106278.68319088357,95473.78785451583
2024-03-20,107133.4841744365,104322.62477985483,108134.9575336501,97141.34279102896
2024-03-21,104214.41019982714,101480.85678974254,105188.51593984825,94494.45320596408
2024-03-22,105236.07096642871,102475.46086231335,106219.75523136817,95420.85084648602
2024-03-25,106841.56669396776,104038.43816486461,107840.30319672942,96876.64468968862
2024-03-26,105849.0818306865,103072.23732868295,106838.51334562365,95976.70249199036
2024-03-27,106695.61515588182,103896.35186878307,107692.98329794087,96744.30216961406
2024-03-28,109060.09489220995,106198.21296802623,110079.63108536159,98888.30977018246
2024-04-01,109906.61381310837,107022.31348529916,110934.08649833521,99655.8963866149
2024-04-02,112738.1168648662,109778.82969776256,113792.13615286395,102223.38045963507
2024-04-03,112154.32511681932,109210.49853626353,113202.8710970533,101694.02344052805
2024-04-04,110869.92277306932,107960.11108509166,111906.42690902685,100529.38314148947
2024-04-05,111220.20646447557,108301.11819568736,112259.99466611938,100847.0051896684
2024-04-08,112767.32877892868,109807.26799121957,113821.62194163701,102249.8685554368
2024-04-09,113059.22465295214,110091.4335719691,114116.25446954236,102514.54706499033
2024-04-10,115569.64152306932,112535.36694446666,116650.20761640805,104790.88412444206
2024-04-11,114723.10819787401,111711.25240436656,115795.73766409085,104023.28444681838
2024-04-12,113672.23551720995,110688.21003833873,114735.01258379787,103070.3987104947
