Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,99480.85429887756
2024-01-04,100000.0,100000.0,98144.06488093763
2024-01-05,100000.0,100000.0,96885.13161080606
2024-01-08,100000.0,100000.0,96391.93795895306
2024-01-09,100000.0,100000.0,95171.95894165903
2024-01-10,100000.0,100000.0,93744.31698988342
2024-01-11,100000.0,100000.0,94237.51064173641
2024-01-12,100000.0,100000.0,93043.48367371183
2024-01-15,100000.0,100000.0,92861.7844235812
2024-01-16,100000.0,100000.0,91654.76106952927
2024-01-17,100000.0,100000.0,90006.47724986699
2024-01-18,100000.0,100000.0,89552.23203331078
2024-01-19,100000.0,100000.0,88384.15129701489
2024-01-22,100000.0,100000.0,87994.80074748417
2024-01-23,100000.0,100000.0,89811.81070141275
2024-01-24,100000.0,100000.0,90720.3069520659
2024-01-25,100000.0,100000.0,88487.98858179642
2024-01-26,99923.1013790644,100014.40375809828,90201.17288602496
2024-01-29,99511.6886546069,99539.50251163979,89772.86808365671
2024-01-30,99047.06931207892,98978.2749353475,89266.70713348009
2024-01-31,97726.2261770124,97510.43060761903,87942.88501386378
2024-02-01,97319.81189174735,97064.33060622576,87540.55553092797
2024-02-02,95477.57512448574,95092.8224896545,85762.48819475544
2024-02-05,95367.29128299389,95078.43752595974,85022.70644328707
2024-02-06,95367.29128299389,95078.43752595974,86528.22781303401
2024-02-07,95367.29128299389,95078.43752595974,86696.94812975955
2024-02-08,95367.29128299389,95078.43752595974,85931.20269394023
2024-02-09,95367.29128299389,95078.43752595974,85554.83107781461
2024-02-14,95367.29128299389,95078.43752595974,85295.2582272534
2024-02-15,95367.29128299389,95078.43752595974,85022.70644328707
2024-02-16,95367.29128299389,95078.43752595974,88254.37941558615
2024-02-19,95367.29128299389,95078.43752595974,87592.4654470076
2024-02-20,95367.29128299389,95078.43752595974,85671.63566091975
2024-02-21,95367.29128299389,95078.43752595974,86320.56487855244
2024-02-22,95367.29128299389,95078.43752595974,87242.04588015145
2024-02-23,95367.29128299389,95078.43752595974,87449.69717955153
2024-02-26,95367.29128299389,95078.43752595974,85334.19502746867
2024-02-27,95367.29128299389,95078.43752595974,87579.49233114326
2024-02-28,95367.29128299389,95078.43752595974,86619.07452932897
2024-02-29,95367.29128299389,95078.43752595974,86943.53622937493
2024-03-01,95367.29128299389,95078.43752595974,86800.7621443781
2024-03-04,95367.29128299389,95078.43752595974,86606.10141346461
2024-03-05,95367.29128299389,95078.43752595974,85463.97272643818
2024-03-06,95367.29128299389,95078.43752595974,86632.05346273405
2024-03-07,95367.29128299389,95078.43752595974,86333.53217687605
2024-03-08,95367.29128299389,95078.43752595974,85671.63566091975
2024-03-11,95367.29128299389,95078.43752595974,83011.02412336352
2024-03-12,95367.29128299389,95078.43752595974,82493.80984576886
2024-03-13,95367.29128299389,95078.43752595974,83022.62429961174
2024-03-14,95367.29128299389,95078.43752595974,81965.00120946672
2024-03-15,94682.10028821725,93931.0179967776,81029.41848909858
2024-03-18,95369.05511044123,95722.87700018946,82575.16233556576
2024-03-19,95959.83158230953,96508.78113667444,83253.12108152271
2024-03-20,96439.25903554037,97153.22023569453,83809.04527524357
2024-03-21,96244.1599452312,96917.4496691307,83605.65823321056
2024-03-22,95260.0376878686,95801.46943698288,82642.95995542368
2024-03-25,94262.14451476333,94795.51850910058,82466.69428835013
2024-03-26,94262.14451476333,94795.51850910058,81422.63770322561
2024-03-27,94262.14451476333,94795.51850910058,82168.38825149974
2024-03-28,94262.14451476333,94795.51850910058,82480.24915828911
2024-04-01,94262.14451476333,94795.51850910058,83009.05779459125
2024-04-02,94262.14451476333,94795.51850910058,83985.31675985786
2024-04-03,94262.14451476333,94795.51850910058,82778.54937759877
2024-04-04,94262.14451476333,94795.51850910058,81856.52734471035
2024-04-05,94262.14451476333,94795.51850910058,80961.6266867814
2024-04-08,93302.85294978684,93812.26001330385,85381.91049667021
2024-04-09,92755.72606794356,93186.53953932167,84812.41979792889
2024-04-10,91458.73868647478,91771.23463852149,83524.2999258729
2024-04-11,91797.85551664788,92158.58662564322,83876.8428951015
2024-04-12,91463.17864937684,91815.93352376806,83564.9819883121
2024-04-15,91984.95710774869,92352.26901115106,84053.12019725652
2024-04-16,93393.17464542683,93916.54036415444,83307.3580139009
