Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100000.0,98688.7244793665
2024-01-04,100000.0,100000.0,100000.0,97700.49812977194
2024-01-05,100000.0,100000.0,100000.0,95933.1156879598
2024-01-08,100000.0,100000.0,100000.0,95020.91778448004
2024-01-09,100000.0,100000.0,100000.0,95458.01759413001
2024-01-10,99930.18920218482,99969.46140078643,99980.24117766351,96199.16743272895
2024-01-11,99654.51317903359,99869.07603031279,99427.21526879448,95667.05597375185
2024-01-12,100209.70457026093,100192.46666087583,100276.52073533481,96484.24222790443
2024-01-15,100100.2406144155,100178.3920771489,100118.51214956155,96332.20924399114
2024-01-16,100066.23051480927,100158.18995013108,100079.01207378691,96294.2029903725
2024-01-17,100593.09613416337,100559.92678124925,100651.78387920592,96845.31359143954
2024-01-18,99826.89106223139,99943.20717745968,99960.49736554564,96199.16743272895
2024-01-19,99826.89106223139,99943.20717745968,99960.49736554564,96256.1887673151
2024-01-22,99826.89106223139,99943.20717745968,99960.49736554564,96617.268100289
2024-01-23,99826.89106223139,99943.20717745968,99960.49736554564,96731.29483058365
2024-01-24,99826.89106223139,99943.20717745968,99960.49736554564,96389.23057857726
2024-01-25,99826.89106223139,99943.20717745968,99960.49736554564,96446.23597428581
2024-01-26,99826.89106223139,99897.15649217613,99960.49736554564,97301.42848205699
2024-01-29,99826.89106223139,99787.20251801422,99960.49736554564,96883.33578393575
2024-01-30,99826.89106223139,99675.43629489282,99960.49736554564,96693.28060752625
2024-01-31,99826.89106223139,100137.4765349776,99960.49736554564,97605.48648044477
2024-02-01,99717.24975710858,101362.74507853737,99922.37087429657,99619.92949437496
2024-02-02,99657.6280924644,101319.18350891677,99903.3140517126,99600.93035228504
2024-02-05,100386.95220803855,102051.94932575783,100799.21652853455,100494.12114423608
2024-02-06,102138.40276237307,102948.01733773093,102705.4023858504,102394.53742787159
2024-02-07,102153.95580746702,102948.01733773093,102724.45121480073,102413.52860052271
2024-02-08,101768.08703179102,102948.01733773093,102324.16201693377,102014.45098336897
2024-02-09,101516.28305325093,102948.01733773093,102171.66700150228,101976.44472975035
2024-02-14,101516.28305325093,102948.01733773093,102171.66700150228,103553.79590346936
2024-02-15,101516.28305325093,102948.01733773093,102171.66700150228,102679.60425360825
2024-02-16,101516.28305325093,102948.01733773093,102171.66700150228,100076.02844611483
2024-02-19,101516.28305325093,102948.01733773093,102171.66700150228,100456.11489061745
2024-02-20,101516.28305325093,102609.85156041577,102171.66700150228,100589.14873244081
2024-02-21,101042.72482220532,102686.72571610847,101678.63220174468,101900.44019195189
2024-02-22,104813.83354381096,105259.45306036423,106533.11376271483,106765.51161605473
2024-02-23,103396.9835120746,104228.719713158,104883.34897960888,105112.14793509847
2024-02-26,102351.51278892235,103376.23188509003,103726.60592465584,103952.8814900619
2024-02-27,105467.91310335045,106066.78454842772,107064.07491997171,107297.63104447065
2024-02-28,104095.6844920553,104566.30599462285,105660.8170248964,105891.31199675483
2024-02-29,101738.52186935613,104566.30599462285,103366.32135411321,103534.78879194065
2024-03-01,101738.52186935613,104566.30599462285,103366.32135411321,102603.59971580979
2024-03-04,101738.52186935613,104566.30599462285,103366.32135411321,99771.97841716585
2024-03-05,101738.52186935613,104566.30599462285,103366.32135411321,98954.77622413567
2024-03-06,101738.52186935613,104566.30599462285,103366.32135411321,98840.74949384101
2024-03-07,101738.52186935613,104566.30599462285,103366.32135411321,99885.99717802169
2024-03-08,101738.52186935613,104566.30599462285,103366.32135411321,99410.89111475313
2024-03-11,101738.52186935613,104566.30599462285,103366.32135411321,99315.87149598717
2024-03-12,101738.52186935613,104566.30599462285,103366.32135411321,99144.82343110637
2024-03-13,101738.52186935613,104566.30599462285,103366.32135411321,98840.74949384101
2024-03-14,101509.58988565314,104424.98581113463,103191.59503627206,101007.24143056206
2024-03-15,99704.65967452296,103268.74235992375,100997.6693207566,98859.75660536971
2024-03-18,99119.4874627617,102843.42314931662,100337.56607428254,98213.62638553673
2024-03-19,98257.7242921851,102168.28011412443,99386.20680338553,97282.4054316507
2024-03-20,98405.21033804573,102296.69750808857,99541.5520343136,97434.46232388038
2024-03-21,98440.48838844945,102323.44925845426,99580.38834204563,97472.47654693779
2024-03-22,99221.26311209597,103024.33588966556,100395.82053588059,98270.64772012286
2024-03-25,96437.86544018044,100443.42703838913,97541.78343210748,95477.02470565872
2024-03-26,97103.25499315295,101065.31314802435,98221.31297423113,96142.17000645922
2024-03-27,96826.68236228304,100690.20238096145,98046.56619082906,95762.0755925178
2024-03-28,96826.68236228304,101081.63126394237,98046.56619082906,96161.16117911034
2024-04-01,96826.68236228304,101828.29931413001,98046.56619082906,96907.94541093812
2024-04-02,96826.68236228304,101432.73488113884,98046.56619082906,96259.46420666027
2024-04-03,96826.68236228304,101432.73488113884,98046.56619082906,97441.96953522631
2024-04-04,96826.68236228304,101432.73488113884,98046.56619082906,98700.75036250983
2024-04-05,96826.68236228304,101432.73488113884,98046.56619082906,98166.71029934406
2024-04-08,96826.68236228304,101432.73488113884,98046.56619082906,98281.16737933371
2024-04-09,96826.68236228304,101432.73488113884,98046.56619082906,98891.47497177823
2024-04-10,96826.68236228304,101432.73488113884,98046.56619082906,97995.07249599235
2024-04-11,96826.68236228304,101432.73488113884,98046.56619082906,95874.23747413418
2024-04-12,96826.68236228304,101432.73488113884,98046.56619082906,95272.35357849716
2024-04-15,96826.68236228304,101432.73488113884,98046.56619082906,94767.5613557131
2024-04-16,96826.68236228304,101432.73488113884,98046.56619082906,94534.55887363138
2024-04-17,96826.68236228304,101432.73488113884,98046.56619082906,94961.69688478623
2024-04-18,96826.68236228304,101432.73488113884,98046.56619082906,94612.21308526064
2024-04-19,96826.68236228304,101432.73488113884,98046.56619082906,94573.385979446
2024-04-22,96826.68236228304,101432.73488113884,98046.56619082906,94748.1318639282
2024-04-23,96826.68236228304,101432.73488113884,98046.56619082906,93660.86929841443
2024-04-24,96826.68236228304,101432.73488113884,98046.56619082906,93000.73677461669
2024-04-25,96826.68236228304,101432.73488113884,98046.56619082906,92592.99637749158
2024-04-26,96826.68236228304,101418.17109832226,98046.56619082906,93194.88027312857
2024-04-29,96826.68236228304,101355.55485415275,98046.56619082906,93058.96946389985
2024-04-30,96826.68236228304,100994.56673336118,98046.56619082906,92356.82205876902
2024-05-02,96826.68236228304,103403.42720173005,98046.56619082906,96882.96918975117
2024-05-03,97157.88656407366,104387.66698334512,98535.81969047184,98229.10303567877
2024-05-06,97520.21821339987,104774.44817663592,98946.7998450224,98638.80391474772
2024-05-07,96160.09654391989,98964.8143119733,97342.05940417145,97039.05861801164
2024-05-08,91159.7192664994,98964.8143119733,91862.39862384603,91576.45461185445
2024-05-09,88545.1218033148,98964.8143119733,89102.99813081537,88825.64342260301
2024-05-10,87757.97048593748,98964.8143119733,88281.05381036038,88006.25760334269
2024-05-13,88299.48505226037,98964.8143119733,88848.58679353165,88572.02400235574
2024-05-14,88167.563426198,98964.8143119733,88809.44835574251,88396.4572656776
2024-05-15,88167.563426198,98661.51640132895,88809.44835574251,89449.93738013467
2024-05-16,88167.563426198,99160.1906788816,88809.44835574251,90718.05042024842
2024-05-17,88167.563426198,99112.96208353412,88809.44835574251,90620.5044893841
2024-05-20,88167.563426198,98018.41774731311,88809.44835574251,88884.17895056038
2024-05-21,88167.563426198,97605.87051779973,88809.44835574251,88298.88742649686
2024-05-22,88167.563426198,98908.87562958084,88809.44835574251,89879.13947593766
2024-05-23,88167.563426198,98357.10643257955,88809.44835574251,89547.49128043775
2024-05-24,88167.563426198,98357.10643257955,88809.44835574251,89547.49128043775
2024-05-27,88167.563426198,98357.10643257955,88809.44835574251,89606.01883895636
2024-05-28,88167.563426198,98357.10643257955,88809.44835574251,88435.45969914571
2024-05-29,88167.563426198,98357.10643257955,88809.44835574251,87128.3282866862
2024-05-31,88167.563426198,98357.10643257955,88809.44835574251,84475.08693661545
2024-06-03,88282.73767314824,98412.42056334874,89073.21560033178,85645.64607642611
2024-06-04,89848.05473773694,99152.51902694098,91365.98833047945,87850.19208339856
2024-06-05,90457.51739303565,99549.78221211079,92096.4265597156,88552.52278562168
2024-06-06,90762.08283581414,99813.25960713653,92421.06577270947,88864.66976438751
2024-06-07,89735.9298423141,99012.67525354333,91305.11018966448,87791.65655544116
2024-06-10,88537.23905732573,97964.72265955125,90026.82671174401,86562.56188767315
2024-06-11,90508.27964662877,99741.26370792133,92116.70822214911,88572.02400235574
2024-06-12,88690.2542238003,98027.68265384175,90331.19129282229,86874.71683587777
