Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,113324.75676441714,13.324756764417137,53.39%,37.07%,49.43%,0.42
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,53.39%,37.07%,49.43%,0.42
VALE3.SA,Modelo de Predição,100000.0,102446.64494011956,2.4466449401195467,65.34%,28.57%,25.40%,0.27
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,65.34%,28.57%,25.40%,0.27
BBDC4.SA,Modelo de Predição,100000.0,62900.24837808679,-37.099751621913214,45.82%,24.39%,41.10%,0.31
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,45.82%,24.39%,41.10%,0.31
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,71.71%,0.00%,0.00%,0.00
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,71.71%,0.00%,0.00%,0.00
BBAS3.SA,Modelo de Predição,100000.0,92900.72187824988,-7.099278121750119,62.55%,28.07%,23.19%,0.25
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,62.55%,28.07%,23.19%,0.25
B3SA3.SA,Modelo de Predição,100000.0,96635.682025652,-3.364317974348019,58.57%,38.75%,36.05%,0.37
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,58.57%,38.75%,36.05%,0.37
ABEV3.SA,Modelo de Predição,100192.41792624224,103106.7365400056,2.9087217117654163,57.37%,37.11%,43.90%,0.40
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,57.37%,37.11%,43.90%,0.40
VIVT3.SA,Modelo de Predição,100000.0,102946.64229433757,2.9466422943375647,66.14%,53.12%,19.54%,0.29
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,66.14%,53.12%,19.54%,0.29
