feature,importance_gain,ticker,importance_pct
wavelet_cD,2.851901054382324,ABEV3.SA,14.186959909112767
EMA_long,1.9998868703842163,ABEV3.SA,9.94856213868432
ATR,1.9232394695281982,ABEV3.SA,9.56727485615006
Open,1.898159146308899,ABEV3.SA,9.442511221916314
Low,1.8150101900100708,ABEV3.SA,9.028881545780326
OBV,1.7766345739364624,ABEV3.SA,8.837979646891798
MACD,1.7242364883422852,ABEV3.SA,8.57732209760671
High,1.6160993576049805,ABEV3.SA,8.039387187102285
Close,1.573809266090393,ABEV3.SA,7.829012485655953
RSI,1.5078871250152588,ABEV3.SA,7.501078677742565
Volume,1.4154069423675537,ABEV3.SA,7.041030233356901
