sharpe_ratio,f1_up,auprc,brier_score,buy_threshold,sell_threshold,n_features,calibration_method,top_k,corr_threshold,calibration,selected_features
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,20,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,20,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,20,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,20,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,20,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,20,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,20,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,20,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,20,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,30,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,30,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,30,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,30,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,30,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,30,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,30,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,30,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,30,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,40,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,40,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.621276999682833,0.49640287769784175,0.5516412353519939,0.19693257140427683,0.39999999999999997,0.04999999999999993,12,none,40,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.2229415693882575,0.4016393442622951,0.5506284094836409,0.19310647073843876,0.2,-0.3,12,sigmoid,40,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
1.4044100811220985,0.4,0.5697088430739916,0.18630436856595492,0.3,0.04999999999999993,12,isotonic,40,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'wavelet_cA', 'EMA_long', 'OBV', 'RSI', 'MACD']"
