sharpe_ratio,f1_up,auprc,brier_score,buy_threshold,sell_threshold,n_features,calibration_method,top_k,corr_threshold,calibration,selected_features
1.1678374904109585,0.31343283582089554,0.476596126247431,0.23031005651980696,0.5499999999999999,-0.3,11,sigmoid,20,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1039381152169183,0.23829787234042554,0.5111435289396273,0.21684768067901738,0.5499999999999999,-0.3,11,isotonic,20,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.0896121867288202,0.32167832167832167,0.4744150604946243,0.274856227362949,0.49999999999999994,-0.3,11,none,20,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1678374904109585,0.31343283582089554,0.476596126247431,0.23031005651980696,0.5499999999999999,-0.3,11,sigmoid,20,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1039381152169183,0.23829787234042554,0.5111435289396273,0.21684768067901738,0.5499999999999999,-0.3,11,isotonic,20,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.0896121867288202,0.32167832167832167,0.4744150604946243,0.274856227362949,0.49999999999999994,-0.3,11,none,20,0.95,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1678374904109585,0.31343283582089554,0.476596126247431,0.23031005651980696,0.5499999999999999,-0.3,11,sigmoid,20,0.98,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1039381152169183,0.23829787234042554,0.5111435289396273,0.21684768067901738,0.5499999999999999,-0.3,11,isotonic,20,0.98,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.0896121867288202,0.32167832167832167,0.4744150604946243,0.274856227362949,0.49999999999999994,-0.3,11,none,20,0.98,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1678374904109585,0.31343283582089554,0.476596126247431,0.23031005651980696,0.5499999999999999,-0.3,11,sigmoid,30,0.9,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1039381152169183,0.23829787234042554,0.5111435289396273,0.21684768067901738,0.5499999999999999,-0.3,11,isotonic,30,0.9,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.0896121867288202,0.32167832167832167,0.4744150604946243,0.274856227362949,0.49999999999999994,-0.3,11,none,30,0.9,none,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1678374904109585,0.31343283582089554,0.476596126247431,0.23031005651980696,0.5499999999999999,-0.3,11,sigmoid,30,0.95,sigmoid,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
1.1039381152169183,0.23829787234042554,0.5111435289396273,0.21684768067901738,0.5499999999999999,-0.3,11,isotonic,30,0.95,isotonic,"['Open', 'High', 'Low', 'Close', 'ATR', 'Volume', 'wavelet_cD', 'BB_lower', 'OBV', 'RSI', 'MACD']"
