ticker,k,sharpe_val,features_used
ABEV3.SA,1,0.3926864361936611,wavelet_cD
ABEV3.SA,2,0.13054367731079064,"wavelet_cD, OBV"
ABEV3.SA,3,0.6410829877833542,"wavelet_cD, OBV, ATR"
ABEV3.SA,5,0.77210291304042,"wavelet_cD, OBV, ATR, BB_lower, BB_middle"
ABEV3.SA,8,0.48755104923266157,"wavelet_cD, OBV, ATR, BB_lower, BB_middle, EMA_long, EMA_short, BB_upper"
ABEV3.SA,10,0.4494739645094034,"wavelet_cD, OBV, ATR, BB_lower, BB_middle, EMA_long, EMA_short, BB_upper, Open, MACD"
ABEV3.SA,12,0.5171662143085772,"wavelet_cD, OBV, ATR, BB_lower, BB_middle, EMA_long, EMA_short, BB_upper, Open, MACD, Low, wavelet_cA"
ABEV3.SA,15,0.4901516366075125,"wavelet_cD, OBV, ATR, BB_lower, BB_middle, EMA_long, EMA_short, BB_upper, Open, MACD, Low, wavelet_cA, RSI, MACD_hist, ADX"
ABEV3.SA,18,0.5774855010896843,"wavelet_cD, OBV, ATR, BB_lower, BB_middle, EMA_long, EMA_short, BB_upper, Open, MACD, Low, wavelet_cA, RSI, MACD_hist, ADX, Close, MACD_signal, MFI"
ABEV3.SA,20,-0.06723320485739481,"wavelet_cD, OBV, ATR, BB_lower, BB_middle, EMA_long, EMA_short, BB_upper, Open, MACD, Low, wavelet_cA, RSI, MACD_hist, ADX, Close, MACD_signal, MFI, Volume, High"
