ticker,k,sharpe_val,features_used
VIVT3.SA,1,-0.3074939734220902,wavelet_cD
VIVT3.SA,2,0.4600218257090596,"wavelet_cD, BB_middle"
VIVT3.SA,3,0.5435896005195612,"wavelet_cD, BB_middle, BB_lower"
VIVT3.SA,5,0.5006323172484104,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short"
VIVT3.SA,8,0.39617807479492634,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short, BB_upper, ATR, Open"
VIVT3.SA,10,0.1328064805865624,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short, BB_upper, ATR, Open, wavelet_cA, OBV"
VIVT3.SA,12,0.4508033492388286,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short, BB_upper, ATR, Open, wavelet_cA, OBV, RSI, MACD_hist"
VIVT3.SA,15,0.3487676254602478,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short, BB_upper, ATR, Open, wavelet_cA, OBV, RSI, MACD_hist, ADX, Close, Volume"
VIVT3.SA,18,0.1627262857791685,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short, BB_upper, ATR, Open, wavelet_cA, OBV, RSI, MACD_hist, ADX, Close, Volume, Low, High, MACD"
VIVT3.SA,20,0.5980376210266942,"wavelet_cD, BB_middle, BB_lower, EMA_long, EMA_short, BB_upper, ATR, Open, wavelet_cA, OBV, RSI, MACD_hist, ADX, Close, Volume, Low, High, MACD, MACD_signal, MFI"
