Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,98688.7244793665
2024-01-04,100000.0,100000.0,97700.49812977194
2024-01-05,100000.0,100000.0,95933.1156879598
2024-01-08,100000.0,100000.0,95020.91778448004
2024-01-09,100000.0,100000.0,95458.01759413001
2024-01-10,100000.0,100000.0,96199.16743272895
2024-01-11,100000.0,100000.0,95667.05597375185
2024-01-12,100000.0,100000.0,96484.24222790443
2024-01-15,100000.0,100000.0,96332.20924399114
2024-01-16,100000.0,100000.0,96294.2029903725
2024-01-17,100000.0,100000.0,96845.31359143954
2024-01-18,100000.0,100000.0,96199.16743272895
2024-01-19,100000.0,100000.0,96256.1887673151
2024-01-22,100000.0,100000.0,96617.268100289
2024-01-23,100000.0,100000.0,96731.29483058365
2024-01-24,100000.0,100000.0,96389.23057857726
2024-01-25,100000.0,100000.0,96446.23597428581
2024-01-26,100000.0,100000.0,97301.42848205699
2024-01-29,100000.0,100000.0,96883.33578393575
2024-01-30,100000.0,100000.0,96693.28060752625
2024-01-31,100000.0,100000.0,97605.48648044477
2024-02-01,100000.0,100000.0,99619.92949437496
2024-02-02,100000.0,100000.0,99600.93035228504
2024-02-05,100000.0,100000.0,100494.12114423608
2024-02-06,100156.85432908786,100747.95567626828,102394.53742787159
2024-02-07,100138.69035842054,100766.64145647257,102413.52860052271
2024-02-08,99903.47771066756,100373.98130980489,102014.45098336897
2024-02-09,99884.37841304168,100336.58622554383,101976.44472975035
2024-02-14,100810.05780741821,101888.57239714691,103553.79590346936
2024-02-15,100179.29871464036,101028.43841143687,102679.60425360825
2024-02-16,97601.43949465711,97756.18327507535,100076.02844611483
2024-02-19,97601.43949465711,97756.18327507535,100456.11489061745
2024-02-20,97601.43949465711,97756.18327507535,100589.14873244081
2024-02-21,97601.43949465711,97756.18327507535,101900.44019195189
2024-02-22,97601.43949465711,97756.18327507535,106765.51161605473
2024-02-23,97601.43949465711,97756.18327507535,105112.14793509847
2024-02-26,97601.43949465711,97756.18327507535,103952.8814900619
2024-02-27,97601.43949465711,97756.18327507535,107297.63104447065
2024-02-28,97601.43949465711,97756.18327507535,105891.31199675483
2024-02-29,97601.43949465711,97756.18327507535,103534.78879194065
2024-03-01,97601.43949465711,97756.18327507535,102603.59971580979
2024-03-04,97601.43949465711,97756.18327507535,99771.97841716585
2024-03-05,97601.43949465711,97756.18327507535,98954.77622413567
2024-03-06,97601.43949465711,97756.18327507535,98840.74949384101
2024-03-07,97601.43949465711,97756.18327507535,99885.99717802169
2024-03-08,97601.43949465711,97756.18327507535,99410.89111475313
2024-03-11,97601.43949465711,97756.18327507535,99315.87149598717
2024-03-12,97601.43949465711,97756.18327507535,99144.82343110637
2024-03-13,97601.43949465711,97756.18327507535,98840.74949384101
2024-03-14,97601.43949465711,97756.18327507535,101007.24143056206
2024-03-15,97601.43949465711,97756.18327507535,98859.75660536971
2024-03-18,97601.43949465711,97756.18327507535,98213.62638553673
2024-03-19,97601.43949465711,97756.18327507535,97282.4054316507
2024-03-20,97601.43949465711,97756.18327507535,97434.46232388038
2024-03-21,97601.43949465711,97756.18327507535,97472.47654693779
2024-03-22,97601.43949465711,97756.18327507535,98270.64772012286
2024-03-25,97601.43949465711,97756.18327507535,95477.02470565872
2024-03-26,97601.43949465711,97756.18327507535,96142.17000645922
2024-03-27,97601.43949465711,97756.18327507535,95762.0755925178
2024-03-28,97601.43949465711,97756.18327507535,96161.16117911034
2024-04-01,97601.43949465711,97756.18327507535,96907.94541093812
2024-04-02,97601.43949465711,97756.18327507535,96259.46420666027
2024-04-03,97601.43949465711,97756.18327507535,97441.96953522631
2024-04-04,97601.43949465711,97756.18327507535,98700.75036250983
2024-04-05,97601.43949465711,97756.18327507535,98166.71029934406
2024-04-08,97601.43949465711,97756.18327507535,98281.16737933371
2024-04-09,97601.43949465711,97756.18327507535,98891.47497177823
2024-04-10,97601.43949465711,97756.18327507535,97995.07249599235
2024-04-11,97601.43949465711,97756.18327507535,95874.23747413418
2024-04-12,97601.43949465711,97756.18327507535,95272.35357849716
2024-04-15,97601.43949465711,97756.18327507535,94767.5613557131
2024-04-16,97601.43949465711,97756.18327507535,94534.55887363138
2024-04-17,97601.43949465711,97756.18327507535,94961.69688478623
2024-04-18,97601.43949465711,97756.18327507535,94612.21308526064
2024-04-19,97601.43949465711,97756.18327507535,94573.385979446
2024-04-22,97601.43949465711,97756.18327507535,94748.1318639282
2024-04-23,97601.43949465711,97756.18327507535,93660.86929841443
2024-04-24,97601.43949465711,97756.18327507535,93000.73677461669
2024-04-25,97601.43949465711,97756.18327507535,92592.99637749158
2024-04-26,97601.43949465711,97756.18327507535,93194.88027312857
2024-04-29,97601.43949465711,97756.18327507535,93058.96946389985
2024-04-30,97601.43949465711,97756.18327507535,92356.82205876902
2024-05-02,97467.92914746143,97364.06128522428,96882.96918975117
2024-05-03,97889.68512592709,98716.87963265035,98229.10303567877
2024-05-06,98087.02876200672,99128.61496479271,98638.80391474772
2024-05-07,97648.80400881566,97520.92580729898,97039.05861801164
2024-05-08,94226.29841782432,92031.1961295192,91576.45461185445
2024-05-09,92239.76068296483,89266.72522762316,88825.64342260301
2024-05-10,91521.88832317112,88443.26675912277,88006.25760334269
2024-05-13,91521.88832317112,88443.26675912277,88572.02400235574
2024-05-14,91521.88832317112,88443.26675912277,88396.4572656776
2024-05-15,91521.88832317112,88443.26675912277,89449.93738013467
