2025-09-17 12:30:29,891 - INFO - THRESHOLDS FINANCEIROS: buy=0.55 sell=0.25 hold_min_days=3
2025-09-17 12:30:29,892 - INFO - PROBABILIDADE MÉDIA: 0.609
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - INICIANDO BACKTESTING REALISTA
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - Tamanho test_df: 251
2025-09-17 12:30:29,892 - INFO - Tamanho predictions: 251
2025-09-17 12:30:29,892 - INFO - Tamanho probabilities: 251
2025-09-17 12:30:29,896 - INFO - Capital inicial: R$ 100,000.00
2025-09-17 12:30:29,896 - INFO - Custo de transação: 0.100%
2025-09-17 12:30:29,901 - INFO - CDI real carregado: 253 dias disponíveis
2025-09-17 12:30:29,901 - INFO - Slippage Dinâmico: 0.2-2.0 bps | Lote: 100 | CDI: Real
2025-09-17 12:30:29,903 - INFO - DISTRIBUIÇÃO DAS PREDIÇÕES:
2025-09-17 12:30:29,904 - INFO -   - Total: 251
2025-09-17 12:30:29,904 - INFO -   - Predições de alta (1): 212
2025-09-17 12:30:29,904 - INFO -   - Predições de baixa (0): 39
2025-09-17 12:30:29,904 - INFO -   - Percentual de alta: 84.5%
2025-09-17 12:30:29,904 - INFO - EXECUÇÃO DOS TRADES:
2025-09-17 12:30:29,904 - INFO - PROGRESSO: Data 2024-01-02 | Pred: 1 | Cash: R$ 100,000.00 | Ações: 0
2025-09-17 12:30:29,906 - INFO - COMPRA: 2024-01-02 | Preço base: R$ 26.50 | Preço exec c/ slippage: R$ 26.50 | Ações: 3700 | Custo: R$ 98141.61 | Prob: 0.985 | Fração: 98.3%
2025-09-17 12:30:29,906 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.953, fração: 97.7%)
2025-09-17 12:30:29,907 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.881, fração: 95.5%)
2025-09-17 12:30:29,907 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.877, fração: 95.3%)
2025-09-17 12:30:29,908 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.924, fração: 97.0%)
2025-09-17 12:30:29,908 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.898, fração: 96.1%)
2025-09-17 12:30:29,908 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.808, fração: 91.1%)
2025-09-17 12:30:29,909 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.818, fração: 91.9%)
2025-09-17 12:30:29,909 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.658, fração: 71.3%)
2025-09-17 12:30:29,909 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.636, fração: 67.0%)
2025-09-17 12:30:29,909 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.822, fração: 92.2%)
2025-09-17 12:30:29,910 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.462, fração: 36.1%)
2025-09-17 12:30:29,910 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.717, fração: 81.0%)
2025-09-17 12:30:29,910 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.495, fração: 40.7%)
2025-09-17 12:30:29,910 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.671, fração: 73.6%)
2025-09-17 12:30:29,910 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.410, fração: 30.4%)
2025-09-17 12:30:29,911 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.440, fração: 33.5%)
2025-09-17 12:30:29,911 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.523, fração: 45.3%)
2025-09-17 12:30:29,911 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.481, fração: 38.7%)
2025-09-17 12:30:29,911 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.643, fração: 68.4%)
2025-09-17 12:30:29,912 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.460, fração: 35.8%)
2025-09-17 12:30:29,912 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.877, fração: 95.3%)
