Date,gross,after_fees,after_all_taxes
2024-01-02,100043.73900000002,100042.94613865741,100001.33133029837
2024-01-03,100087.49713100123,100085.91072102307,100004.6606566155
2024-01-04,100131.27440137137,100128.89375501785,100009.98926601389
2024-01-05,100175.07081948179,100171.89524856601,100018.6506344694
2024-01-08,100218.88639370752,100214.91520959522,100028.31507886417
2024-01-09,100262.72113242728,100257.95364603653,100039.98281513566
2024-01-10,100306.5750440234,100301.01056582444,100055.98796524334
2024-01-11,100350.44813688191,100344.08597689682,100071.99999066566
2024-01-12,100394.34041939251,100387.17988719497,100090.01932377284
2024-01-15,100438.25189994856,100430.29230466358,100113.38202227885
2024-01-16,100482.18258694709,100473.42323725078,100135.75411328166
2024-01-17,100526.1324887888,100516.5726929081,100160.13753480151
2024-01-18,100570.10161387808,100559.74067959047,100190.87157174035
2024-01-19,100614.08997062298,100602.92720525626,100219.61623451459
2024-01-22,100658.09756743524,100646.13227786723,100250.37625767355
2024-01-23,100702.12441273026,100689.3559053886,100288.49544640513
2024-01-24,100746.17051492716,100732.59809578897,100323.62520881477
2024-01-25,100790.23588244869,100775.8588570404,100360.77436852378
2024-01-26,100834.32052372133,100819.13819711833,100406.29254577069
2024-01-29,100878.4244471752,100862.43612400167,100447.81995738787
2024-01-30,100922.54766124416,100905.75264567272,100491.37081027745
2024-01-31,100966.69017436572,100949.08777011723,100544.30183616222
2024-02-01,101009.05276856218,100990.6425925803,100591.1659671223
2024-02-02,101051.43313683229,101032.21452072811,100639.97300285143
2024-02-05,101093.83128663352,101073.80356160206,100699.04611860294
2024-02-06,101136.24722542646,101115.40972224648,100752.0650052247
2024-02-07,101178.68096067483,101157.03300970854,100807.0305242717
2024-02-08,101221.13249984551,101198.67343103836,100873.23359451145
2024-02-09,101263.60185040848,101240.33099328897,100932.41882420499
2024-02-14,101306.08901983686,101282.00570351626,100993.5544202251
2024-02-15,101348.59401560691,101323.69756877905,101025.86561580376
2024-02-16,101391.11684519805,101365.40659613907,101058.19011200778
2024-02-19,101433.65751609279,101407.13279266095,101090.52791431223
2024-02-20,101476.21603577682,101448.87616541222,101122.87902819447
2024-02-21,101518.79241173895,101490.63672146332,101155.24345913407
2024-02-22,101561.38665147114,101532.41446788762,101187.62121261291
2024-02-23,101603.9987624685,101574.20941176139,101220.01229411508
2024-02-26,101646.62875222927,101616.0215601638,101252.41670912695
2024-02-27,101689.27662825484,101657.85092017696,101284.83446313714
2024-02-28,101731.94239804977,101699.69749888589,101317.26556163657
2024-02-29,101774.62606912172,101741.56130337849,101349.71001011833
2024-03-01,101817.32764898155,101783.44234074562,101382.16781407785
2024-03-04,101860.04714514324,101825.34061808104,101414.6389790128
2024-03-05,101902.78456512393,101867.25614248143,101447.12351042312
2024-03-06,101945.53991644393,101909.18892104641,101479.62141381096
2024-03-07,101988.31320662667,101951.13896087851,101512.13269468084
2024-03-08,102031.10444319878,101993.10626908316,101544.65735853945
2024-03-11,102073.91363369003,102035.09085276876,101577.19541089579
2024-03-12,102116.74078563332,102077.0927190466,101609.74685726111
2024-03-13,102159.58590656475,102119.11187503091,101642.31170314895
2024-03-14,102202.44900402357,102161.14832783886,101674.88995407512
2024-03-15,102245.3300855522,102203.20208459052,101707.48161555766
2024-03-18,102288.2291586962,102245.27315240893,101740.08669311693
2024-03-19,102331.14623100431,102287.36153842002,101772.70519227552
2024-03-20,102374.08131002846,102329.46724975269,101805.33711855834
2024-03-21,102415.20293100907,102369.75961936965,101836.56370501147
2024-03-22,102456.3410697224,102410.06785416302,101867.80258697634
2024-03-25,102497.49573280329,102450.39196037973,101899.05376929429
2024-03-26,102538.66692688924,102490.73194426917,101930.3172568086
2024-03-27,102579.85465862043,102531.0878120832,101961.59305436448
2024-03-28,102621.0589346397,102571.45957007614,101992.881166809
2024-04-01,102662.27976159257,102611.84722450477,102024.1815989912
2024-04-02,102703.5171461272,102652.25078162833,102055.49435576196
2024-04-03,102744.77109489444,102692.67024770853,102086.81944197412
2024-04-04,102786.04161454784,102733.10562900954,102118.1568624824
2024-04-05,102827.32871174357,102773.55693179801,102149.50662214345
2024-04-08,102868.63239314049,102814.02416234305,102180.86872581586
2024-04-09,102909.95266540017,102854.50732691622,102212.24317836008
2024-04-10,102951.2895351868,102895.00643179158,102243.62998463848
2024-04-11,102992.6430091673,102935.52148324564,102275.02914951537
2024-04-12,103034.01309401121,102976.05248755738,102306.44067785697
2024-04-15,103075.39979639082,103016.59945100827,102337.86457453141
2024-04-16,103116.80312298103,103057.16237988224,102369.30084440873
2024-04-17,103158.22308045946,103097.74128046569,102400.7494923609
2024-04-18,103199.65967550641,103138.33615904751,102432.21052326182
2024-04-19,103241.11291480486,103178.94702191907,102463.68394198728
2024-04-22,103282.58280504048,103219.57387537419,102495.169753415
